family_name,adipose tissue fpkm,adrenal gland fpkm,appendix fpkm,bone marrow fpkm,brain fpkm,colon fpkm,duodenum fpkm,endometrium fpkm,esophagus fpkm,fallopian tube fpkm,gallbladder fpkm,heart muscle fpkm,kidney fpkm,liver fpkm,lung fpkm,lymph node fpkm,ovary fpkm,pancreas fpkm,placenta fpkm,prostate fpkm,rectum fpkm,salivary gland fpkm,skeletal muscle fpkm,skin fpkm,small intestine fpkm,smooth muscle fpkm,spleen fpkm,stomach fpkm,testis fpkm,thyroid gland fpkm,tonsil fpkm,urinary bladder fpkm
1-acylglycerophosphoethanolamine O-acyltransferases,-0.24009002755123054,-0.7635312339339735,0.22780870506872225,-0.41962661802624507,-0.9397890903646633,1.3061673976936787,1.263804684068141,0.644948681097579,0.27467142443266795,1.2527220659338603,0.6425461507242771,-0.23410035124650003,-0.8372437317201562,-1.7598194158194354,0.13048986346231323,-0.0008892833446889972,0.25810792690451284,-1.3936446091891566,-0.8759537157169388,-0.20131325862255922,1.5316970471013471,-0.7757033571054821,-1.4248025819247607,0.42794079063355456,1.2150161707940317,0.38519981952520405,0.1700884037028231,1.4381518528097335,-1.2843459752868895,-0.5128011632199679,0.031100074070562145,0.4631933550496417
14-3-3 phospho-serine/phospho-threonine binding proteins,0.3617061251809165,0.29312479244976775,0.27674569607859373,-0.5975265568782387,1.84810510245158,0.6788651140812204,-0.020828182157498598,0.09751831174301308,0.8559028595959047,0.08013365042014783,0.16412957850078894,-0.11343171765107615,-0.07693040481775155,-0.9651876529921612,0.09749192872348846,-0.08065179093369709,-0.4042461942829524,-1.4641747377950722,0.1364270214883224,0.09081506201018177,0.4791274900254753,-0.8634095396633956,-1.203158418770208,-0.11722011501321956,0.09085177610178585,0.27497028118005656,-0.43845346150086684,0.19894100252941996,-0.656548599662458,-0.17754136073223165,0.6726875308374469,0.48176540945271434
2'-5'-oligoadenylate synthetase family,-0.09656449256555749,-0.6452580545936635,0.8555467618690106,0.8019772678083164,-0.9182330910668063,0.7651617384668237,0.34565780410993363,-0.615811732340853,0.35917116577181374,-0.3535048269699679,0.6782854824673183,-0.7006362048565591,-0.8015378669517531,-0.198179662637972,1.0210694477755837,0.6700976442233813,-1.1726875631982276,-1.7789316139615257,0.3024868325563761,-0.966951289226138,0.5369955996370986,1.3646847569177512,-1.8244892510446815,-0.8766973430240945,0.15041715757829638,0.11186057852846831,1.4612609265885723,1.3152415826885644,-0.46280604166514167,-0.9698009114173415,0.5476997939958896,1.0944754045370872
2-arachidonoylglycerol hydrolases,0.3814410115464198,-0.2958318516232178,-0.2890075442717237,-1.6015140957646405,0.925164001417354,0.5404201246677299,0.8227282225279934,-0.517305799425145,0.8742281396518393,0.19435200691689594,0.21466562591718694,-0.2061038806074054,0.7624403706563485,0.19835365639175576,0.3545932069832785,-0.5134059460342231,-1.0529353383999687,-0.9094748872440376,-0.01193885197217955,-0.16058052192351227,0.4574831786722509,-0.5229113493260942,-1.6998078683107252,0.04972843259376725,1.0422045728263962,-0.0706539561371738,0.3459433640375084,0.49726750174132195,-0.9612844747471853,0.6354979879886772,0.09232561855001702,0.4239193427004984
3-hydroxyacyl-CoA dehydratase family,0.4318701567135832,0.41905289148179004,0.016742149103087064,-0.5158620719991216,0.17484301306657482,0.41251402266127724,0.04742820439182227,0.3506904676313114,0.16144864368599024,0.28453342844978924,0.20386204673708397,-0.3750901572748879,0.21009353614026077,-0.2743036440645443,0.6909789563121538,-0.21905749747453016,0.082800734379083,-1.487449926233983,-0.01964066298065026,0.6376644483785463,0.35007431432151354,-0.9069398612901205,-1.9099452038942868,-0.3290717591294985,0.11627465832526951,0.6625078474044296,-0.48633234931695746,0.2713780648420541,-0.07932873586722719,0.5233220313348693,-0.06752636360271635,0.6224686177680369
3M complex subunits,-0.20454978104608304,0.8101120771038975,-0.5053321765836359,-2.1356581754146693,-0.7010004671297981,-0.8904930382803199,-0.7076638878822816,1.0121647160530196,-0.5574395665983991,1.755524370284195,0.31005540440053153,0.5150448749509532,0.7020035675611455,-1.3967428431109774,0.21880526358905739,-0.7675129335156482,2.174175031043161,0.2219194642485732,0.6853094664964269,0.6937517346167011,-1.0032598055567101,0.32050485537194345,-0.4486651614136941,-0.21682141388126927,-0.7042457888852406,0.34139497945270775,-0.08044648783456126,-0.3278552743085049,0.7212408710601,1.1138528435762804,-0.9801206117042988,0.03194789333739669
5'-nucleotidases,-0.3130911490785159,-0.26945465683062425,-0.026382427679031144,-0.04565887322948076,-0.15225704792087885,0.34983826636018295,0.24874132196235405,0.13564619645567547,0.21842340225492965,0.2780638695049589,0.0037924078556208656,0.07424865704431897,0.023498554372401614,-0.7563243957984344,-0.25207050828289285,0.10485883516739684,0.2936236990098297,-1.222696643194426,-0.01884184471156236,0.13450693869273514,0.2552288436215127,-0.5237481461139767,0.533385192987856,-0.4122665900538482,0.20771387388423396,-0.12631026839429346,-0.015039056139258924,0.047178028588097616,0.7880452217762363,0.18774853947970405,0.1553813754024309,0.09421838300674976
"5-hydroxytryptamine receptors, G protein-coupled",-0.24643001060638248,0.060538208235174966,-0.050191538060541656,-0.48638382097187116,1.0243272867872375,-0.10653643362517502,0.31306792227273433,0.09232168498597765,0.06739329553810851,-0.28638605064802447,0.13897336254110548,0.30972150537249693,-0.025897618951882428,0.45671424929278737,-0.302592766851525,-0.37537024105025113,-0.10964467217372857,-0.4908117207277197,0.1315018117882678,-0.4417727377108703,-0.016682523279923537,-0.3034331355860157,-0.05431025644266151,0.4122245123593031,0.41892447556056833,0.18466554705066693,-0.3582291320072391,0.11033864615798052,0.3210565927634917,-0.4258322542985971,-0.14527381575288123,0.1840096280393881
"5-hydroxytryptamine receptors, ionotropic ",-0.4006946550615247,-0.050167977262331395,0.051378852488823845,-0.3919447958893172,-0.05694113383276337,0.004670640186786446,0.03969732799633634,-0.3733427357266096,0.386014993121433,-0.41681394860001697,0.719573475900789,1.1676637993913936,-0.3968377861792486,0.024673605349849213,0.032285160731926624,0.33966681791243925,-0.3964400177583908,0.7943849578030108,-0.39433649779768176,-0.38320787867366024,-0.2152205962462367,0.17543608705285849,0.017272448854138277,0.8827387646354442,0.0013067157449367483,-0.21351114080924302,-0.2919067285457594,-0.2637170750989986,-0.30151380109139464,-0.42685650846409046,0.660190416272939,-0.32350078640583596
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase family",0.8651930094893896,-0.3565331093554018,-0.18087465910728595,0.13614987843197013,0.21267333334439442,0.50962829748916,0.5759463723851201,-0.6749825440095432,0.0201831885483941,-0.6135540758978424,-0.4086762284883643,0.5150628669833075,0.5599848650512683,0.2704154057931277,0.005754170220362342,-0.2797848356395881,-0.7056874715476662,-0.3410242030876162,-0.8479237210844599,-0.48262877925764563,0.5641021998460569,-0.3057966905481034,2.105034793739186,-0.36213120942589627,0.3076961175834193,-0.6996061533429023,-0.21607744262607645,0.008860028282595661,-0.2932385549725133,1.1230798398781199,-0.38901611658265695,-0.6222285720923209
